Заголовок,Дата публикации,Текст,Автор,Ссылка
В Лянгасово пьяный бесправник насмерть сбил известного педагога школы искусств,"23 май 2024, 11:23","
Стало известно, кем была женщина в Лянгасово, которую сбил насмерть пьяный водитель. Об этом сообщила редакция портала ""Про Город Киров"".
Выяснилось, что погибшей была Светлана Носкова, 55-летняя учительница, работавшая в МБУДО ""Лянгасовская детская школа искусств"". Как рассказали в паблике учреждения, преподавательница была ""всегда спокойна, доброжелательная, отзывчивая и внимательная"".

– Она пользовалась уважением и любовью как в преподавательском коллективе, так и среди учащихся. Воспитанники Светланы Алексеевны были постоянными участниками школьных концертов, выступали на фестивалях и конкурсах, часто отмечались дипломами лауреатов. Коллектив школы выражает соболезнования родным и близким. Светлая память о Светлане Алексеевне навсегда останется в наших сердцах, – написали в сообществе школы.

Напомним, что смертельное ДТП произошло 22 мая в Лянгасово. Автомобиль ВАЗ-2114 двигаясь задним ходом, выехал на тротуар и сбил Светлану Алексеевну.
Не смотря на то, что скорая приехала на место происшествия быстро, женщину спасти не удалось. Она скончалась на месте.
Позже выяснилось, что 47-летний мужчина, который управлял автомобилем, был в состоянии алкогольного опьянения. Более того, ранее он был лишен водительских прав.
Фото: УГИБДД по Кировской области
",Автор: Данил Попов,https://gorodkirov.ru/news/v-lyangasovo-pyanyj-bespravnik-nasmert-sbil-izvestnogo-pedagoga-shkoly-iskusstv/
"Троечник смог ответить, сможете ли вы? Тест на знание русской классики","23 май 2024, 10:25","
Сегодня, 23 мая, в России студенты сдают ЕГЭ по литературе.  Наша редакция, конечно же, решила не проходить мимо этого события. Ведь мы не только много пишем, но и много читаем.
Однако чтобы сдать ЕГЭ, просто любить читать, к сожалению, недостаточно. Подготовка к этому (да и вообще к любому) экзамену требует времени и усилий. Студенты должны изучить все основные темы, а также ознакомиться с различными авторами и их произведениями. Кроме того, важно уметь анализировать тексты и находить скрытые смыслы.
Также, помимо теоретических знаний, экзамен проверяет способность студентов выражать свои мысли и аргументировать свою точку зрения. Поэтому важно практиковаться в написании эссе и сочинений, чтобы научиться ясно и логично излагать свои мысли.
Но легче всего подобный материал усваивается через игры. Вот и мы предлагаем немного развлечься и пройти этот тест на основные знания русской классики и литературных терминов. Получится ответить правильно на все 8 вопросов? Давайте проверим.


",Автор: Данил Попов,https://gorodkirov.ru/news/troechnik-smog-otvetit-smozhete-li-vy-test-na-znanie-russkoj-klassiki/
Зарядка от смартфона вызвала возгорание в квартире на Краснополянской,"23 май 2024, 09:27","


  22 мая вечером в городе Кирове на улице Краснополянская произошел пожар в одной из квартир.
 


 Пожар начался из-за зарядного устройства от телефона, которое было оставлено в розетке. В результате пожара сгорело зарядное устройство, обои на площади 2 квадратных метра обуглились, а натяжной потолок расплавился, стены закоптились.  Хозяин квартиры был дома в момент пожара и смог сам ликвидировать возгорание до приезда пожарных. Предполагается, что причиной возгорания стало короткое замыкание в зарядном устройстве.


 МЧС России напоминает:


 не оставляйте электроприборы на зарядке без присмотра;
 
 избегайте зарядки устройств ночью;
 
 отключайте зарядное устройство, когда аккумулятор заряжен на 100%;
 
 не используйте поврежденные аккумуляторы.


 Ранее мы писали, что
 

   в Кирове загорелась квартира с пятью маленькими детьми
  

 .


 Фото: МЧС по Кировской области

",Автор: Редакция,https://gorodkirov.ru/news/zaryadka-ot-smartfona-vyzvala-vozgoranie-v-kvartire-na-krasnopolyanskoj/
Ограничения для водителей в День пограничника: какие улицы перекроют в Кирове,"23 май 2024, 08:16","


  Одним из последних весенних праздников в России является День пограничника.
 
 Еще со времен советского союза его празднуют 28 мая, и в 2024 году эта дата приходится на вторник.


 В Кирове массовое мероприятие в по такому поводу организует региональная общественная организация пограничников Кировской области ""Граница"". В программу входит праздничный митинг у филармонии с 10:00 до 10:30, а также торжественное прохождение к Вечному огню с 10630 до 11:30. В связи с ними проезд и стоянка транспорта
 
  будут ограничены
 
 .


 28 мая водители не смогут проехать с 10:30 до окончания прохождения колонны:


 - по улице Казанской на участке от улицы Красноармейской до улицы Пятницкой;
 
 - по улице Московской на участке от улицы Казанской до Набережной Грина.


 Что касается ограничений стоянки и парковки, то они продлятся с 05:00 до окончания прохождения колонны.


 - по улице Казанской на участке от Красноармейской до Московской
 
 - по улице Московской от улицы Казанской до Набережной Грина.


 Фото: progorod43.ru

",Автор: Екатерина Рожкова,https://gorodkirov.ru/news/ogranicheniya-dlya-voditelej-v-den-pogranichnika-kakie-ulicy-perekroyut-v-kirove/
В Кирове сожгли тонну опасного корма для собак,"23 май 2024, 06:00","
Опасный корм для собак обнаружили в машине, которую остановили на посту ДПС.  Водитель не смог предоставить ветеринарные сопроводительные документы на груз, рассказали в Россельхознадзоре.
Автомобиль с тонной корма направлялся из деревни Шихово Слободского района в Москву. Специалисты ведомства отобрали 6 проб и направили в лабораторию для исследования груза на сибирскую язву, бруцеллез, ящур и нодулярный дерматит. К счастью, возбудителей инфекционных заболеваний выявлено не было. Несмотря на результаты исследования, продукция без документов подлежала уничтожению. В результате всю тонну собачьего корма утилизировали путем сжигания.
Ведомство объявило грузоотправителю, а именно юридическому лицу ООО «Берсаут Инвест», предостережение о недопустимости нарушений требования ветеринарного законодательства.
Фото: редакция портала ""Город Киров"" 
",Автор: Редакция,https://gorodkirov.ru/news/v-kirove-sozhgli-tonnu-opasnogo-korma-dlya-sobak/
В Лянгасово неадекватный водитель на ВАЗе сбил женщину,"22 май 2024, 22:48","
В среду вечером в Лянгасово произошла смертельная авария.  47-летний водитель автомобиля ВАЗ-2114 совершил наезд на 55-летнюю женщину, сообщили в областной Госавтоинспекции.
Несмотря на то, что скорая помощь оказалась на месте происшествия буквально через пару минут после случившегося, спасти пострадавшую не удалось. По факту аварии полицейские проводят проверку, уточняются причины и условия совершения ДТП.
Очевидцы  сообщают  в паблике ""Лянгасово Киров"", что погибшая возвращалась домой по улице Спортивной, когда ее сбил двигавшийся задним ходом автомобиль. Водитель авто находился в неадекватном состоянии - вероятно, был пьян. Кроме того, жители Лянгасово пишут, что уже не раз замечали этот автомобиль в своем районе - его водитель регулярно приезжал, в том числе в нетрезвом состоянии, в местный магазин за алкоголем.
Фото: Госавтоинспекция Кировской области 
",Автор: Редакция,https://gorodkirov.ru/news/v-lyangasovo-neadekvatnyj-voditel-na-vaze-nasmert-sbil-zhenshinu/
Спортсменка из Кирова стала второй на первенстве России по боксу,"22 май 2024, 22:00","
В Московской области завершилось первенство страны по боксу среди юношей и девушек 13-14 лет.  Кировскую область на соревнованиях достойно представила Надежда Крашенникова, рассказали в городской администрации.
Соперничество на турнире было довольно серьезным, за победу боролись 209 девушек из 58 регионов страны. Воспитаннице спортивной школы № 2 Надежде Крашенниковой, которая тренируется под руководством заслуженного тренера России Анатолия Бакулева, удалось пробиться в финал. К сожалению, там она уступила сопернице из Красноярского края, которая уже имеет значительный опыт выступлений на соревнованиях высокого уровня.
В результате наша спортсменка поднялась на вторую ступеньку пьедестала почета главного турнира страны.
Фото: Муниципальное образование ""Город Киров"" 
",Автор: Редакция,https://gorodkirov.ru/news/sportsmenka-iz-kirova-stala-vtoroj-na-pervenstve-rossii-po-boksu/
Завтра гостей выставки «Россия» будет встречать Йети из Кировской области,"22 май 2024, 21:00","
23 мая посетители выставки «Россия» смогут познакомиться со Снежным человеком из Кировской области, рассказали в областном правительстве. 
Уже завтра на ВДНХ в рамках выставки «Россия» свои достижения на стенде Кировской области представит Верхошижемский район. Считается, что в дремучих лесах Верхошижемья обитает семейство Йети. Местные охотники и лесорубы утверждают, что неоднократно наблюдали его представителей в непроходимых чащобах. А криптозоологи официально подтверждают наличие следов Снежного человека. Гостям стенда Кировской области предложат принять участие в Йети-забеге, каждый участник которого получит от Снежного человека памятный сувенир.
Также делегация Верхошижемского района представит уникальную деревянную мебель из массива, которая производится в этом муниципальном образовании, посетителей угостят традиционным русским «копорским чаем» из иван-чая. Гости получат возможность освоить ткачество и прядение во время мастер-классов, узнать и увидеть, как обрабатывают лен.
Фото: редакция портала ""Город Киров"" 
",Автор: Редакция,https://gorodkirov.ru/news/gostej-vystavki-rossiya-budet-vstrechat-jeti-iz-kirovskoj-oblasti/
В Кирове полиция всю ночь искала ушедших из дома детей,"22 май 2024, 16:58","
Двое детей в Кирове пропали без вести.  Об этом сообщили в УМВД по Кировской области.
Информация о пропаже 12-летнего мальчика поступила в отдел полиции ночью. Кировчанка рассказала, что ее сын вечером куда-то ушел из двора дома. Причем при себе у него был телефон, отдако был выключен.

– По тревоге был поднят личный состав отдела. Ориентированы наружные наряды. Полицейские прочесывали микрорайон, проверяя подъезды, территории ближайших организаций, опрашивали знакомых мальчика, – рассказали в пресс-службе ведомства.

В итоге в 5 утра полицейские обнаружили мальчика на Северной Набережной. Вместе с ним гулял еще один несовершеннолетний, как выяснилось, его приятель. Мальчиков доставили в отдел полиции.

– Личность второго установили, вызвали в отдел его отца, чтобы опросить, почему он допустил ситуацию, в которой его сын дома не ночевал, а сам отец не обратился в полицию с заявлением о розыске ребенка, – заключили в УМВД.

Фото: УМВД по Кировской области 
",Автор: Данил Попов,https://gorodkirov.ru/news/v-kirove-policiya-vsyu-noch-iskala-ushedshih-iz-doma-detej/
В Кирове пожар в квартире с 5 детьми мог произойти из-за попавшей на лоджию сигареты,"22 май 2024, 16:37","
Выяснилось, из-за чего в квартире с пятью детьми в Кирове возник пожар.  Об этом сообщили в городском Пожарном надзоре.
По данным отдела МЧС, причиной возгорания стало неосторожное обращение с огнем неустановленного лица. В момент возникновения пожара окна балкона были открыты. Существует вероятность, что на лоджию залетел непотушенный окурок сигареты. Надзор оценивает такую вероятность в 51%.
Напомним, что пожар произошел 21 мая, во вторник, в микрорайоне ""Урванцево"". Загорелся матрас, который находился на лоджии квартиры на пятом этаже дома на улице Анжелия Михеева.
Ситуацию осложнял тот факт, что в этот момент в жилище были пятеро детей, которых оставили без присмотра. Спасателям пришлось эвакуировать 50 жителей дома.

– Чтобы защититься от попадания брошенных окурков, рекомендовано закрывать окна, а также ставить на них антимоскитные сетки, – отметили в пожарном надзоре.

Фото: ГУ МЧС по Кировской области 
",Автор: Данил Попов,https://gorodkirov.ru/news/v-kirove-pozhar-v-kvartire-s-5-detmi-mog-proizojti-iz-za-popavshej-na-lodzhiyu-sigarety/
В Кирове на сутки закроют парковку на Привокзальной площади,"22 май 2024, 16:06","


  Работы планируется провести с полуночи 25 мая до полуночи 26 мая.
 


 Подрядчик частично восстановит брусчатку на пешеходных дорожках, а также бордюры, планируется также нанести новую дорожную разметку. В указанный период времени на территории площади будет запрещено поставлять автотранспорт. Автовладельцев просят предварительно убрать автомобили с этой территории. Оставленные транспортные средства переставят на парковки в пределах ближайшего квартала. Генеральная уборка Привокзальной площади - важная часть подготовки к 650-летию Кирова.


 Ранее мы писали, что
 
  с ремонтом двух ротонд в Александровском саду возникли трудности
 
 . Центральная (малая) готова на 60%. У нее укладывают брусчатку внутри и делают гранитную лестницу. А большая (береговая) готова лишь на 60%. При этом крайний срок сдачи назначен на 1 июня.


 Фото: gorodkirov.ru

",Автор: Редакция,https://gorodkirov.ru/news/v-kirove-na-sutki-zakroyut-parkovku-na-privokzalnoj-ploshadi/
Кировским бизнесменам предложили оформить фасады зданий в дымковской тематике,"22 май 2024, 14:59","


  Власти города обратились к предринимательскому сообществу с предложением украсить входные группы своих заведений к юбилею города.
 


 К преображению улиц родного города могут присоединиться хозяева магазинов, салонов красоты, кафе, ресторанов и других общественных мест. Дирекция благоустройства предлагает уникальную юбилейную концепцию цветочного оформления, включающую в себя разнообразные растения, такие как герань, бальзамины, калибрахоа, полынь, котовник, вербейник монетчатый, шалфей. За дополнительной информацией нужно обращаться в отдел охраны окружающей среды и зеленого строительства по адресу: ул. Ленина, 15.


 Ранее мы писали, что
 

   Александровский сад в Кирове не успевают доделать ко Дню города
  

 . Об этом заявили в Гордуме на заседании комиссии по строительству, благоустройству и развитию инженерной инфраструктуры.


 Фото: gorodkirov.ru

",Автор: Редакция,https://gorodkirov.ru/news/kirovskim-biznesmenam-predlozhili-oformit-fasady-zdanij-v-dymkovskoj-tematike/
24 мая в Кировской области введут запрет на продажу алкоголя,"22 май 2024, 14:56","
В Кировской области в день ""последнего звонка"" не будут продавать алкоголь.  Соответствующий указ опубликован на сайте правительства региона.
Напомним, что этот праздник в Кировской области назначен на 24 мая. Об этом в правительстве сообщили еще 12 декабря.
Также в ближайшие три месяца будет еще три дня без продажи алкоголя. Самый ближайший – 1 июня. В этот день в Кировской области, как и во всей стране, будет отмечаться ""День защиты детей"".
Согласно закону запрет на продажу алкоголя действует и в ""День молодежи"". Его принято праздновать в последнюю субботу июня. В 2024 году она выпадает на 29 число.
Еще один день, когда в магазинах региона нельзя будет купить спиртное, это ""День знаний"". Отметим, что в 2024 году 1 сентября будет в воскресенье. В связи с этим запрет переносится на 2 число этого месяца.
Фото: ""Город Киров RU"" 
",Автор: Данил Попов,https://gorodkirov.ru/news/24-maya-v-kirovskoj-oblasti-vvedut-zapret-na-prodazhu-alkogolya/
Ротонды в Александровском саду не успевают отреставрировать к намеченному сроку,"22 май 2024, 14:08","
Александровский сад в Кирове не успевают доделать к дню города.  Об этом заявили в Гордуме на заседании комиссии по строительству, благоустройству и развитию инженерной инфраструктуры.
Один из докладчиков рассказал, что с ремонтом двух ротонд в парке возникли трудности. Центральная (малая) готова на 80%. У нее укладывают брусчатку внутри и делают гранитную лестницу. А большая (береговая) готова лишь на 60%. При этом крайний срок сдачи назначен на 1 июня.
Причиной тому, что реставрация объектов затянулась, называют обнаруженный грибок в одной из ротонд. О нем подрядчику якобы не предупреждали. Также трудности вызвали поиски прописанных в проекте пиломатериалы. Их невозможно достать в Кировской области.
Позже Вячеслав Симаков, глава администрации города, также прокомментировал процесс подготовки парка. Он отметил, что в этом есть вина самих чиновников.

– Но это не значит, что подрядчик у нас ""хороший"", ""пушистый"". Действительно, к нему вопросов очень много, – отметил Симаков.

Торги на ремонт Александровского сада выиграла организация из Коряжмы. Как увтерждает глава администрации, предварительно у них были положительные отзывы, а также опыт прошлых работ не вызывали сомнения. Однако уже в процессе стало понятно, что что-то идет не так. Когда в прошлом году речь зашла о расторжении контракта, подрядчик пообещал закончить все работы еще в начале весны. Позже сроки постоянно переносились: 1 мая, 9 мая и наконец к 1 июня.

– У нас появилось две организации в Кирове с лицензией. Сейчас с ними переговоры ведем. Сегодня [21 мая] к какому-то решению будем приходить, – заключил глава администрации.

Фото: ""Город Киров RU"" 
",Автор: Данил Попов,https://gorodkirov.ru/news/rotondy-v-aleksandrovskom-sadu-ne-uspevayut-otrestavrirovat-k-namechennomu-sroku/
Три подростка пострадали в авариях в Кирове и Кирово-Чепецке,"22 май 2024, 13:33","
За сутки в Кировской области произошло два ДТП с несовершеннолетними.  Об этом сообщили в региональном УГИБДД.
По информации ведомства, обе аварии случились 21 мая вечером. Первая случилась в Кирове в 17:35. Около дома №31 по улице Ленина автомобиль БМВ, за рулем которого находилась 29-летняя женщина, сбила 15-летнего мальчика. Тот переезжал дорогу на велосипеде. В результате ДТП он получил травмы.
Второй инцидент случился в 22 часа в Кирово-Чепецке. На улице Первомайской около дома №15/1 столкнулись ""Тойота"" и питбайк. На мини-мотоцикле ехали 16-летний и 15-летний подростки. В результате столкновения они получили травмы.

Фото: УГИБДД по Кировской области 
",Автор: Данил Попов,https://gorodkirov.ru/news/tri-podrostka-postradali-v-avariyah-v-kirove-i-kirovo-chepecke/
По одну сторону от Солнца: земляне смогут стать свидетелями уникального явления в Космосе,"22 май 2024, 11:57","
Восемь небесных тел Солнечной системы выстроятся в ""большой парад планет"". Об этом сообщили в ТАСС, ссылаясь на Людмилу Кошман, главу отдела методического сопровождения Московского планетария.
По словам ученой, он состоится 3 июня. В нем примут участие:

Солнце;
Венера;
Юпитер;
Меркурий;
Уран;
Марс;
Нептун;
Сатурн.

Все планеты выстроятся по одну сторону от нашей звезды в секторе от северо-восточного до юго-восточного горизонта. Также в понедельник к ним присоединится Луна в виде тонкого серпа, который окажется рядом с Марсом.
К сожалению, по словам Кошман, парад произойдет в дневное время, из-за чего не будет виден с Земли. Планеты просто потеряются в ярких лучах Солнца.
Только Сатурн на короткое время станет виден. Его можно будет разглядеть низко над горизонтом перед восходом светила. На это жителям планеты дадут менее часа.
Фото: ""Город Киров RU""
",Автор: Данил Попов,https://gorodkirov.ru/news/po-odnu-storonu-ot-solnca-zemlyane-smogut-stat-svidetelyami-unikalnogo-yavleniya-v-kosmose/
"В Кирове прохожий избил мужчину, который ссорился со своей девушкой на улице","22 май 2024, 10:02","
Кировчанина избил на улице мужчину, который грубо разговаривал с девушкой.  Об этом рассказали в пресс-службе УМВД по Кировской области.
По информации ведомства, это случилось вечером в Кирове на улице Мельничной. 35-летний мужчина поссорился со своей девушкой и начал ей громко грубить. Это не понравилось прохожему и тот решил влезть в перепалку.
В ходе конфликта незнакомец нанес мужчине побои, после чего пострадавшему потребовалась госпитализация. У него диагностировали множественные травмы головы. Уже в медучреждении пострадавший рассказал о случившемся медикам, а те передали это полиции.
Полиции удалось установить личность подозреваемого. Им оказался 27-летний житель Кирова. Его задержали и доставили следователю.

– В отношении него было возбуждено уголовное дело по статье 111 УК РФ. В настоящее время проводятся последующие и иные процессуальные действия, – сообщили в пресс-службе УМВД.

Фото: Полиция Кировской области 
",Автор: Данил Попов,https://gorodkirov.ru/news/v-kirove-prohozhij-izbil-muzhchinu-kotoryj-ssorilsya-so-svoej-devushkoj-na-ulice/
Филиал «КЧХК» организовал экскурсию для детей сотрудников в пожарную часть,"22 май 2024, 09:58","


  Филиал «КЧХК» АО «ОХК «Уралхим» организовал для детей сотрудников экскурсию в Специальное управление федеральной противопожарной службы №16 МЧС России.
 
 Мероприятие было посвящено 375-летию пожарной охраны России и Дню охраны труда.


 Дети прошли инструктаж, увидели парад спецтехники, для них также был организован интерактивный мастер-класс, в ходе которого они попробовали предотвратить импровизированный пожар при помощи огнетушителя. Желающие могли примерить экипировку, подержать в руках рабочие инструменты пожарных. Зрелищным моментом мероприятия стала демонстрация работы пенной пушки.



  Сергей Завьялов, руководитель направления по охране труда, промышленной безопасности, ГО и ЧС филиала «КЧХК» АО «ОХК «Уралхим», депутат городской Думы Кирово-Чепецка:
 

 Экскурсия стала одним из подарков для участников заводского конкурса детского рисунка «Охрана труда дома и на работе глазами детей». Дети познакомились с работой пожарных, их распорядком дня, технической оснащенностью пожарной части, научились пользоваться огнетушителем. Филиал «КЧХК» находится под охраной Специального управления ФПС №16, его специалисты ведут регулярную профилактическую работу на предприятии, проводятся совместные пожарные учения.

",Автор: Редакция,https://gorodkirov.ru/news/filial-kchhk-organizoval-ekskursiyu-dlya-detej-sotrudnikov-v-pozharnuyu-chast/
В России появился новый вариант коронавируса FLiRT,"22 май 2024, 09:34","
Российские ученые выявили в России новый вариант коронавируса.  Об этом сообщили РИА Новости, ссылаясь на Роспотребнадзор.
По информации ведомства, что благодаря постоянному мониторингу были обнаружены единичные новые геноварианты FLiRT. Всего их выявили 178, из которых три случая заболевания KP.2, пять случаев KP.1.1, а остальные – KS.1.
Также специалисты отметили, штамм не представляет большей опасности. Омикрон по-прежнему является доминирующим и опасным во всем мире.
В Роспотребнадзоре также назвали основные симптомы штамма FLiRT. В основном они схожи с омикроном. Специалисты отметили следующие симптомы:

Лихорадка;
Кашель;
Боль в горле;
Слабость;
Головная боль;
Мышечные боли;
Потеря вкуса или обоняния.

Фото: Правительство Кировской области 
",Автор: Данил Попов,https://gorodkirov.ru/news/v-rossii-poyavilsya-novyj-variant-koronavirusa-flirt/
В Кирове загорелась квартира с пятью маленькими детьми,"22 май 2024, 08:22","


  Во вторник, 21 мая, в многоэтажке на улице Анжелия Михеева в микрорайоне ""Урванцево"" сработала пожарная сигнализация.
 
 Причина оказалась серьезной - в квартире на пятом этаже загорелась лоджия.


 Интересно, что в тот момент там
 
  находились
 
 пятеро несовершеннолетних детей в возрасте от 2 до 12 лет, которых на короткое время оставили без присмотра. На лоджии вспыхнул матрац, и они пытались его потушить своими силами. А когда поняли, что не могут, выскочили в коридор.





 В целом из дома было эвакуировано 50 человек, включая 15 детей. Поэтому из людей никто не пострадал.


 Однако в задымленной квартире оставался котенок, которого, к счастью, удалось спасти.


 Сейчас сотрудники МЧС выясняют причину случившегося - у них имеется несколько версий. От пожара повредились окна, а вся квартира закоптилась, как и общий коридор на этаже.


 Фото редакции портала ""Город Киров.RU""

",Автор: Екатерина Рожкова,https://gorodkirov.ru/news/v-kirove-zagorelas-kvartira-s-pyatyu-malenkimi-detmi/
Кировчане раскупили все билеты на первые авиарейсы в Калининград,"22 май 2024, 06:00","
В мае из Кирова в Калининград начали летать самолеты.  Как рассказали в аэропорту ""Победилово"", новое авианаправление пользуется большим спросом у жителей региона, на первые рейсы были раскуплены все билеты.
С мая из кировского аэропорта запустили новые авиарейсы по нескольким направлениям. В частности, теперь жители региона могут без пересадок и быстро добраться до Калининграда. Первые рейсы до самого западного региона России отправились с полной загрузкой.
Полеты из Кирова в Калининград выполняются 2 раза в неделю: по понедельникам и четвергам на воздушных судах Embraer 190 авиакомпании Nordwind совместно с авиакомпанией «Икар». Время перелета составляет 3 часа 15 минут.
В мае же из Кирова начали  летать  самолеты в Минеральные Воды. В ближайшее время ожидается запуск еще одного нового авианаправления — в Самару.
Фото: АО ""Аэропорт Победилово"" 
",Автор: Редакция,https://gorodkirov.ru/news/kirovchane-raskupili-vse-bilety-na-pervye-aviarejsy-v-kaliningrad/
В Кировской области задержана 16-летняя участница ОПГ,"21 май 2024, 23:00","
В Кировской области задержали 16-летнюю девушку по подозрению в сбыте наркотиков в особо крупном размере, сообщили в областном Следкоме. 
По версии следствия, девушка являлась участницей межрегиональной организованной преступной группы, занимавшейся сбытом наркотических средств через интернет. Кировчанка незаконно приобрела наркотическое средство в особо крупном размере и принесла его домой для расфасовки.
В дальнейшем девушка собиралась наркотики продавать, но довести задуманное до конца ей не дали правоохранители. Наркотическое средство было обнаружено и изъято из незаконного оборота сотрудниками УФСБ России по Кировской области.
В отношении молодой кировчанки возбуждено уголовное дело, проводится комплекс следственных действий, направленных на установление всех обстоятельств произошедшего. За покушение на незаконный сбыт наркотических средств в особо крупном размере девушке может грозить пожизненное лишение свободы.
Фото: УФСБ по Кировской области 
",Автор: Редакция,https://gorodkirov.ru/news/v-kirovskoj-oblasti-zaderzhana-16-letnyaya-uchastnica-opg/
В Киров по воде прибыла вторая баржа с щебнем,"21 май 2024, 22:00","
В Кировской области продолжается пилотный проект по возобновлению грузоперевозок по Вятке.  В речной порт города прибыла вторая баржа с щебнем из Советска, рассказали в областном правительстве.
В рамках пилотного проекта власти собираются оценить, насколько выгодны грузоперевозки по реке в нынешних экономических условиях, и что необходимо улучшить, чтобы в будущем такой способ доставки грузов стал более привлекательным и интересным, в том числе и для инвесторов.
После окончания весеннего половодья грузоперевозки по реке Вятке будут осуществляться по маршруту Гирсово – Киров, на том участке, где с 2023 года Росморречфлотом по заявке правительства Кировской области установлены гарантированные габариты судового хода.
Нынешний рейс стал уже вторым, прибывшим из Советска. Первый  прибыл  неделю назад, преодолев по реке почти 270 километров. Щебень, который таким образом доставляется, будет использоваться для нужд предприятий дорожного и строительного комплексов.
Фото: Правительство Кировской области 
",Автор: Редакция,https://gorodkirov.ru/news/v-kirove-po-vode-pribyla-vtoraya-barzha-s-shebnem/
