Заголовок,Дата публикации,Текст,Автор,Ссылка
"В Кирове росгвардейцы задержали мужчину, находящегося в федеральном розыске","09 июн 2024, 15:20","
Как оказалось, задержанным оказался уклонист из Краснодарского края
Сотрудники вневедомственной охраны Росгвардии заметили, что водитель нарушил правила дорожного движения, выезжая на встречную полосу на улице Талица. Они быстро реагировали и остановили нарушителя.
При проверке документов у водителя выяснилось, что ему 22 года и он родом из Краснодарского края. Оказалось, что он находится в федеральном розыске за уклонение от военной службы. Сотрудники Росгвардии передали его полицейским для дальнейших мер по расследованию.
 
",Автор: Редакция,https://gorodkirov.ru/news/v-kirove-rosgvardejcy-zaderzhali-muzhchinu-nahodyashegosya-v-federalnom-rozyske/
"В Кирове поймали вора-рецидивиста, который крал продукты из магазина","09 июн 2024, 15:19","
Мужчину передали полиции
Пресс-служба Росгвардии Кировской области рассказала об инциденте, который произошел недавно в одном из магазинов Кирова. Утром во вневедомственную охрану поступило сообщение о происшествии в магазине на улице Кольцова. Сотрудники Росгвардии оперативно прибыли на место и выяснили, что 28-летний мужчина пытался украсть товар, не заплатив за него.
После беседы с охранником магазина, полицейские выяснили, что этот же мужчина неделю назад уже пытался украсть товар на сумму 800 рублей из того же магазина. Видеозаписи с камер показали сходство с задержанным. Нарушителя закона передали полиции.
 
",Автор: Редакция,https://gorodkirov.ru/news/v-kirove-pojmali-vora-recidivista-kotoryj-kral-produkty-iz-magazina/
"Школьники из Кирова приняли участие в проекте ""Футбол в коррекционной школе""","09 июн 2024, 15:18","
Там дети не только поиграли в футбол, но и встретились с известными футболистами
В Санкт-Петербурге состоялся заключительный этап турнира среди участников проекта ""Футбол в коррекционной школе"" из разных уголков России. В проекте приняли участие дети, представлявшие школу № 44 для обучающихся с ограниченными возможностями здоровья в Кирове.
На протяжении соревнований ребята не только играли в футбол, но и посещали мастер-классы, встречались с известными футболистами сборной России, такими как Марио Фернандес, Павел Погребняк, Александр Мостовой и Алексей Смертин. Кроме того, участники совершили увлекательные экскурсии по городу и посетили местный океанариум.
По результатам соревнований все участники были награждены памятными медалями, а победителям и призерам вручили кубки.
 
",Автор: Редакция,https://gorodkirov.ru/news/shkolniki-iz-kirova-prinyali-uchastie-v-proekte-futbol-v-korrekcionnoj-shkole/
В правительстве региона рассказали о борьбе с борщевиком в Кировской области,"09 июн 2024, 15:18","
Сейчас работа ведется как минимум в трех районах
В Кировской области ведется активная борьба с борщевиком Сосновского. Специалисты компании ""Вятавтодор"" каждый день проводят работы по вырубке травы и уничтожению борщевика как с использованием механизированных, так и ручных методов. Кроме того, для уничтожения сорняка применяются химические средства.
В данный момент процесс обработки борщевика гербицидами проводится в Советском, Санчурском, Сунском районах. В будущем эта работа планируется на дорогах различных районов области и будет продолжена там, где обнаружены очаги роста вредного растения.
 
",Автор: Редакция,https://gorodkirov.ru/news/v-pravitelstve-regiona-rasskazali-o-borbe-s-borshevikom-v-kirovskoj-oblasti/
Актриса Ольга Прокофьева поздравила кировчан с юбилеем,"09 июн 2024, 14:27","
В своем поздравлении актриса отметила, как сильно преображается город
В мае после спектакля «Пигмалион» по пьесе Бернарда Шоу в постановке режиссера Леонида Хейфеца (16+), который прошел в Драмтеатре, актриса Ольга Прокофьева не упустила случая, чтобы поздравить жителей Кирова с предстоящим Днем города.
— Дорогие кировчане, я очень рада, что могу лично поздравить вас с праздником, с 650-летием города. Я часто бываю в Кирове, мне он очень нравится. Я гуляю у вас в парке, по набережной, люблю ваши улочки, — сказала Ольга Прокофьева.
Актриса также отметила, что рада видеть, как в городе чистятся пруды и преображаются парки.
 
",Автор: Редакция,https://gorodkirov.ru/news/aktrisa-olga-prokofeva-pozdravila-kirovchan-s-yubileem/
В Кирово-Чепецке мужчина начал стрелять в сторону несовершеннолетних,"09 июн 2024, 14:25","
Мужчину быстро задержали
7 июня в Кирово-Чепецке 24-летний молодой человек, находясь в состоянии алкогольного опьянения, без всякой видимой причины выстрелил из пневматического пистолета в воздух и в сторону группы несовершеннолетних.
К слову, никто не пострадал и медицинская помощь не потребовалась.
Как сообщили в Следственном комитете РФ Кировской области, в отношении молодого человека возбуждено уголовное дело. Сейчас он находится под домашним арестом.
 
",Автор: Редакция,https://gorodkirov.ru/news/v-kirovo-chepecke-muzhchina-nachal-strelyat-v-storonu-nesovershennoletnih/
Симаков прокомментировал свои фото с костылями,"09 июн 2024, 14:23","
Глава администрации поспешил сказать, что с ним все в порядке
В СМИ появились фотографии, на которых глава администрации Кирова Вячеслав Симаков передвигается на костылях.
Сити-менеджер прокомментировал фотографию в своем телеграм-канале:
— Очень много вопросов поступает в личку, после публикации фото на костылях, по поводу того, что случилось. Сразу скажу, ничего страшного не произошло. Вечером в пятницу на тренировке по футболу получил небольшое растяжение. Медицинская помощь была вовремя оказана, работать мне это не мешает. Нахожусь в графике. В ближайшее время полностью встану на ноги.
Фото: телеграм-канал «Первоисточник»
",Автор: Редакция,https://gorodkirov.ru/news/simakov-prokommentiroval-svoi-foto-s-kostylyami/
"Кировчанам рассказали, куда нужно обращаться при укусе клеща","09 июн 2024, 14:22","
Опубликован список учреждений
Май и июнь — время, когда клещи становятся особенно активными. Эксперты рекомендуют быть готовыми к возможности укуса этих неприятных созданий. В случае укуса клеща важно срочно принять меры. Первое и самое важное - быстро удалить его, чтобы избежать возможных проблем со здоровьем. Для этого лучше обратиться в медицинские учреждения, где профессионально и безопасно проведут процедуру удаления клещей:
- в стационарах центральных районных больниц;
- в поликлиниках по месту жительства (в часы работы);
- в поликлинике Центра травматологии, ортопедии и нейрохирургии (круглосуточно).
В вечернее и ночное время суток, выходные и праздничные дни – в приемных отделениях:
- Кировской горбольницы № 2 (Нововятский район, ул. Гагарина, 2);
- Кировской горбольницы № 5 (ул. Семашко, 1);
- Кировской клинической больницы № 7 им. В. И. Юрловой (ул. Красина, 56);
- больницы скорой медицинской помощи (Октябрьский проспект, 47; ул. Свердлова, 4).
- Если нет возможности обратиться в медицинскую организацию необходимо самостоятельно удалить клеща: подвести толстую нитку под брюшко и раскачивающими движениями осторожно вытащить насекомое, затем обработать место присасывания йодом, - уточнили в управлении гражданской защиты.
В этих учреждениях можно исследовать клеща на наличие вирусов:
- В лаборатории центра гигиены и эпидемиологии в Кировской области: ул. Свободы, 64a, телефоны для справок: 38-57-97, 35-33-58. С мая по июнь прием клещей на исследование проводится в рабочие дни с 8.00 до 16.00. В субботу, воскресенье, праздники - с 8:00 до 14:00. С июля прием клещей на исследование проводится только в рабочие дни с 8:00 до 16:00.
- В СПИД-центре инфекционной клинической больницы (ул. Маклина, 3) с понедельника по пятницу с 8.00 до 18.00. Время выдачи результатов ежедневно после 16.00.
Кировчанам напоминают, что клеща нужно доставлять в  в чистых, плотно закрывающихся стеклянных или пластиковых флакончиках в максимально короткие сроки.
 
",Автор: Редакция,https://gorodkirov.ru/news/kirovchanam-rasskazali-kuda-nuzhno-obrashatsya-pri-ukuse-klesha/
В Черной Холунице произошел крупный пожар: есть пострадавшие,"09 июн 2024, 14:21","
На улице Горького загорелись два дома
В Черной Холунице загорелись два нежилых дома, сообщили в поселке Черная Холуница на улице Горького. Пожар произошел 8 июня. 
Сотрудники МЧС ликвидировали возгорание около 23 часов. В тушении пожара принимали участие 33 человека, было использовано 10 единиц техники.
Сообщается также, что в результате инцидента пострадали люди.
 
",Автор: Редакция,https://gorodkirov.ru/news/v-chernoj-holunice-proizoshel-krupnyj-pozhar-est-postradavshie/
В Кирове завершается благоустройство улиц в исторической части города,"09 июн 2024, 13:30","
К 12 июня улицы будут окончательно готовы
Ко Дню города готовится целый ряд улиц, расположенных в исторической части, где планируются праздничные мероприятия и проходят туристические маршруты. 
- К понедельнику убираем строительный мусор на всех участках. В День города на тротуарах не должно быть никаких препятствий для передвижения горожан и гостей города. Работы на период празднования необходимо прекратить и максимально привести в порядок территории - убрать все остатки материалов, - отметил первый заместитель главы администрации города Дмитрий Печенкин.
Согласно представителям строительных компаний, все работы идут по плану, и завершение благоустройства на самых важных объектах запланировано ко Дню города. На некоторых участках работы были усилены, включая ремонт тротуаров и обновление газонов. На улицах Московской, Горького, Преображенской, Казанской и Орловской уже обновлены пешеходные части. Тротуары на нескольких других улицах также находятся в высокой степени готовности.
 
",Автор: Редакция,https://gorodkirov.ru/news/v-kirove-zavershaetsya-blagoustrojstvo-ulic-v-istoricheskoj-chasti-goroda/
